model,script_length_words,mean_latency_seconds,median_latency_seconds,std_latency_seconds,min_latency_seconds,max_latency_seconds
Qwen2.5-0.5B,5,0.7521419666666892,0.7497268999995867,0.02668010521438678,0.7267515000003186,0.7799475000001621
Qwen2.5-0.5B,10,1.1760645666669614,1.156081300000551,0.03527191092430739,1.1553217000000586,1.2167907000002742
Qwen2.5-0.5B,20,3.4524955666665846,3.442200800000137,0.0406257992200316,3.418007499999476,3.497278400000141
Qwen2.5-0.5B,40,5.036933300000176,5.017036899999766,0.03968156400395577,5.011136200000692,5.082626800000071
Qwen2.5-0.5B,80,10.104815933333157,9.95674869999948,0.3392783690794844,9.864736700000321,10.49296239999967
Qwen2.5-0.5B,120,12.676231966666515,12.578294699999788,0.4886408068344338,12.243977099999938,13.206424099999822
Qwen2.5-1.5B,5,4.455161533333315,4.440568099999837,0.02738648222668448,4.438162299999931,4.486754200000178
Qwen2.5-1.5B,10,6.18042433333297,6.143622499999765,0.07955750512773817,6.125930700000026,6.2717197999991185
Qwen2.5-1.5B,20,4.8826293333331705,4.896979499999361,0.08908435854900301,4.7872409999999945,4.963667500000156
Qwen2.5-1.5B,40,6.593775966666726,6.572974599999725,0.08070869076465065,6.525504100000035,6.682849200000419
Qwen2.5-1.5B,80,8.93939306666683,8.850687500000276,0.24512894466838275,8.750965500000348,9.216526199999862
Qwen2.5-1.5B,120,20.982208633333357,21.48496989999967,1.9536883160917289,18.826275200000055,22.63538080000035
SmolLM2-1.7B,5,6.277038733333029,6.159293599999728,0.2692482869401475,6.086719199999607,6.585103399999753
SmolLM2-1.7B,10,5.924553333333582,5.891970700000456,0.09016334422844852,5.855210499999885,6.026478800000405
SmolLM2-1.7B,20,6.927546366666927,6.507817000000614,1.1469814442504491,6.049552200000107,8.225269900000058
SmolLM2-1.7B,40,6.059905933333842,6.051305300000422,0.02260973973350833,6.042858600000727,6.085553900000377
SmolLM2-1.7B,80,36.15897863333339,35.95127270000012,0.5940020482008522,35.69672019999962,36.828943000000436
SmolLM2-1.7B,120,24.037213599999934,23.613935200000014,0.7421770968935588,23.603520800000297,24.894184799999493
